label,artist,country
2018/09,Debbie Donnelly,New Zealand
2019/09,Allison Kovar,United States
2019/12,Kostas Papakostas & Stephanie Pochet,United Kingdom
2020/08,Kazutaka Fujii,Japan
2021/09,Scott Harano,United States
2022/07,Jenny Macgregor,United Kingdom
2022/07,Kayla Milne,United Kingdom
2022/08,Karen Jiang,United States
2022/12,Chris Lightbody,United States
2022/12,Gabrielle Rameriz,United States
2022/12,Maya Hendricks,United States
2022/12,Paula Schultz,United States
2023/03,Andrina Manon,Australia
2024/02,Marceau Verdiere,France
2025/12,Katarina Čelebić,Serbia
